model,month,path,period,rcp,variable
bc,0,/Users/mperry/data/worldclim/past/bcmidbi1.tif,mid,na,bi1
bc,0,/Users/mperry/data/worldclim/past/bcmidbi10.tif,mid,na,bi10
bc,0,/Users/mperry/data/worldclim/past/bcmidbi11.tif,mid,na,bi11
bc,0,/Users/mperry/data/worldclim/past/bcmidbi12.tif,mid,na,bi12
bc,0,/Users/mperry/data/worldclim/past/bcmidbi13.tif,mid,na,bi13
bc,0,/Users/mperry/data/worldclim/past/bcmidbi14.tif,mid,na,bi14
bc,0,/Users/mperry/data/worldclim/past/bcmidbi15.tif,mid,na,bi15
bc,0,/Users/mperry/data/worldclim/past/bcmidbi16.tif,mid,na,bi16
bc,0,/Users/mperry/data/worldclim/past/bcmidbi17.tif,mid,na,bi17
bc,0,/Users/mperry/data/worldclim/past/bcmidbi18.tif,mid,na,bi18
bc,0,/Users/mperry/data/worldclim/past/bcmidbi19.tif,mid,na,bi19
bc,0,/Users/mperry/data/worldclim/past/bcmidbi2.tif,mid,na,bi2
bc,0,/Users/mperry/data/worldclim/past/bcmidbi3.tif,mid,na,bi3
bc,0,/Users/mperry/data/worldclim/past/bcmidbi4.tif,mid,na,bi4
bc,0,/Users/mperry/data/worldclim/past/bcmidbi5.tif,mid,na,bi5
bc,0,/Users/mperry/data/worldclim/past/bcmidbi6.tif,mid,na,bi6
bc,0,/Users/mperry/data/worldclim/past/bcmidbi7.tif,mid,na,bi7
bc,0,/Users/mperry/data/worldclim/past/bcmidbi8.tif,mid,na,bi8
bc,0,/Users/mperry/data/worldclim/past/bcmidbi9.tif,mid,na,bi9
bc,1,/Users/mperry/data/worldclim/past/bcmidpr1.tif,mid,na,pr
bc,10,/Users/mperry/data/worldclim/past/bcmidpr10.tif,mid,na,pr
bc,11,/Users/mperry/data/worldclim/past/bcmidpr11.tif,mid,na,pr
bc,12,/Users/mperry/data/worldclim/past/bcmidpr12.tif,mid,na,pr
bc,2,/Users/mperry/data/worldclim/past/bcmidpr2.tif,mid,na,pr
bc,3,/Users/mperry/data/worldclim/past/bcmidpr3.tif,mid,na,pr
bc,4,/Users/mperry/data/worldclim/past/bcmidpr4.tif,mid,na,pr
bc,5,/Users/mperry/data/worldclim/past/bcmidpr5.tif,mid,na,pr
bc,6,/Users/mperry/data/worldclim/past/bcmidpr6.tif,mid,na,pr
bc,7,/Users/mperry/data/worldclim/past/bcmidpr7.tif,mid,na,pr
bc,8,/Users/mperry/data/worldclim/past/bcmidpr8.tif,mid,na,pr
bc,9,/Users/mperry/data/worldclim/past/bcmidpr9.tif,mid,na,pr
bc,1,/Users/mperry/data/worldclim/past/bcmidtn1.tif,mid,na,tn
bc,10,/Users/mperry/data/worldclim/past/bcmidtn10.tif,mid,na,tn
bc,11,/Users/mperry/data/worldclim/past/bcmidtn11.tif,mid,na,tn
bc,12,/Users/mperry/data/worldclim/past/bcmidtn12.tif,mid,na,tn
bc,2,/Users/mperry/data/worldclim/past/bcmidtn2.tif,mid,na,tn
bc,3,/Users/mperry/data/worldclim/past/bcmidtn3.tif,mid,na,tn
bc,4,/Users/mperry/data/worldclim/past/bcmidtn4.tif,mid,na,tn
bc,5,/Users/mperry/data/worldclim/past/bcmidtn5.tif,mid,na,tn
bc,6,/Users/mperry/data/worldclim/past/bcmidtn6.tif,mid,na,tn
bc,7,/Users/mperry/data/worldclim/past/bcmidtn7.tif,mid,na,tn
bc,8,/Users/mperry/data/worldclim/past/bcmidtn8.tif,mid,na,tn
bc,9,/Users/mperry/data/worldclim/past/bcmidtn9.tif,mid,na,tn
bc,1,/Users/mperry/data/worldclim/past/bcmidtx1.tif,mid,na,tx
bc,10,/Users/mperry/data/worldclim/past/bcmidtx10.tif,mid,na,tx
bc,11,/Users/mperry/data/worldclim/past/bcmidtx11.tif,mid,na,tx
bc,12,/Users/mperry/data/worldclim/past/bcmidtx12.tif,mid,na,tx
bc,2,/Users/mperry/data/worldclim/past/bcmidtx2.tif,mid,na,tx
bc,3,/Users/mperry/data/worldclim/past/bcmidtx3.tif,mid,na,tx
bc,4,/Users/mperry/data/worldclim/past/bcmidtx4.tif,mid,na,tx
bc,5,/Users/mperry/data/worldclim/past/bcmidtx5.tif,mid,na,tx
bc,6,/Users/mperry/data/worldclim/past/bcmidtx6.tif,mid,na,tx
bc,7,/Users/mperry/data/worldclim/past/bcmidtx7.tif,mid,na,tx
bc,8,/Users/mperry/data/worldclim/past/bcmidtx8.tif,mid,na,tx
bc,9,/Users/mperry/data/worldclim/past/bcmidtx9.tif,mid,na,tx
cc,0,/Users/mperry/data/worldclim/past/cclgmbi1.tif,lgm,na,bi1
cc,0,/Users/mperry/data/worldclim/past/cclgmbi10.tif,lgm,na,bi10
cc,0,/Users/mperry/data/worldclim/past/cclgmbi11.tif,lgm,na,bi11
cc,0,/Users/mperry/data/worldclim/past/cclgmbi12.tif,lgm,na,bi12
cc,0,/Users/mperry/data/worldclim/past/cclgmbi13.tif,lgm,na,bi13
cc,0,/Users/mperry/data/worldclim/past/cclgmbi14.tif,lgm,na,bi14
cc,0,/Users/mperry/data/worldclim/past/cclgmbi15.tif,lgm,na,bi15
cc,0,/Users/mperry/data/worldclim/past/cclgmbi16.tif,lgm,na,bi16
cc,0,/Users/mperry/data/worldclim/past/cclgmbi17.tif,lgm,na,bi17
cc,0,/Users/mperry/data/worldclim/past/cclgmbi18.tif,lgm,na,bi18
cc,0,/Users/mperry/data/worldclim/past/cclgmbi19.tif,lgm,na,bi19
cc,0,/Users/mperry/data/worldclim/past/cclgmbi2.tif,lgm,na,bi2
cc,0,/Users/mperry/data/worldclim/past/cclgmbi3.tif,lgm,na,bi3
cc,0,/Users/mperry/data/worldclim/past/cclgmbi4.tif,lgm,na,bi4
cc,0,/Users/mperry/data/worldclim/past/cclgmbi5.tif,lgm,na,bi5
cc,0,/Users/mperry/data/worldclim/past/cclgmbi6.tif,lgm,na,bi6
cc,0,/Users/mperry/data/worldclim/past/cclgmbi7.tif,lgm,na,bi7
cc,0,/Users/mperry/data/worldclim/past/cclgmbi8.tif,lgm,na,bi8
cc,0,/Users/mperry/data/worldclim/past/cclgmbi9.tif,lgm,na,bi9
cc,1,/Users/mperry/data/worldclim/past/cclgmpr1.tif,lgm,na,pr
cc,10,/Users/mperry/data/worldclim/past/cclgmpr10.tif,lgm,na,pr
cc,11,/Users/mperry/data/worldclim/past/cclgmpr11.tif,lgm,na,pr
cc,12,/Users/mperry/data/worldclim/past/cclgmpr12.tif,lgm,na,pr
cc,2,/Users/mperry/data/worldclim/past/cclgmpr2.tif,lgm,na,pr
cc,3,/Users/mperry/data/worldclim/past/cclgmpr3.tif,lgm,na,pr
cc,4,/Users/mperry/data/worldclim/past/cclgmpr4.tif,lgm,na,pr
cc,5,/Users/mperry/data/worldclim/past/cclgmpr5.tif,lgm,na,pr
cc,6,/Users/mperry/data/worldclim/past/cclgmpr6.tif,lgm,na,pr
cc,7,/Users/mperry/data/worldclim/past/cclgmpr7.tif,lgm,na,pr
cc,8,/Users/mperry/data/worldclim/past/cclgmpr8.tif,lgm,na,pr
cc,9,/Users/mperry/data/worldclim/past/cclgmpr9.tif,lgm,na,pr
cc,1,/Users/mperry/data/worldclim/past/cclgmtn1.tif,lgm,na,tn
cc,10,/Users/mperry/data/worldclim/past/cclgmtn10.tif,lgm,na,tn
cc,11,/Users/mperry/data/worldclim/past/cclgmtn11.tif,lgm,na,tn
cc,12,/Users/mperry/data/worldclim/past/cclgmtn12.tif,lgm,na,tn
cc,2,/Users/mperry/data/worldclim/past/cclgmtn2.tif,lgm,na,tn
cc,3,/Users/mperry/data/worldclim/past/cclgmtn3.tif,lgm,na,tn
cc,4,/Users/mperry/data/worldclim/past/cclgmtn4.tif,lgm,na,tn
cc,5,/Users/mperry/data/worldclim/past/cclgmtn5.tif,lgm,na,tn
cc,6,/Users/mperry/data/worldclim/past/cclgmtn6.tif,lgm,na,tn
cc,7,/Users/mperry/data/worldclim/past/cclgmtn7.tif,lgm,na,tn
cc,8,/Users/mperry/data/worldclim/past/cclgmtn8.tif,lgm,na,tn
cc,9,/Users/mperry/data/worldclim/past/cclgmtn9.tif,lgm,na,tn
cc,1,/Users/mperry/data/worldclim/past/cclgmtx1.tif,lgm,na,tx
cc,10,/Users/mperry/data/worldclim/past/cclgmtx10.tif,lgm,na,tx
cc,11,/Users/mperry/data/worldclim/past/cclgmtx11.tif,lgm,na,tx
cc,12,/Users/mperry/data/worldclim/past/cclgmtx12.tif,lgm,na,tx
cc,2,/Users/mperry/data/worldclim/past/cclgmtx2.tif,lgm,na,tx
cc,3,/Users/mperry/data/worldclim/past/cclgmtx3.tif,lgm,na,tx
cc,4,/Users/mperry/data/worldclim/past/cclgmtx4.tif,lgm,na,tx
cc,5,/Users/mperry/data/worldclim/past/cclgmtx5.tif,lgm,na,tx
cc,6,/Users/mperry/data/worldclim/past/cclgmtx6.tif,lgm,na,tx
cc,7,/Users/mperry/data/worldclim/past/cclgmtx7.tif,lgm,na,tx
cc,8,/Users/mperry/data/worldclim/past/cclgmtx8.tif,lgm,na,tx
cc,9,/Users/mperry/data/worldclim/past/cclgmtx9.tif,lgm,na,tx
cc,0,/Users/mperry/data/worldclim/past/ccmidbi1.tif,mid,na,bi1
cc,0,/Users/mperry/data/worldclim/past/ccmidbi10.tif,mid,na,bi10
cc,0,/Users/mperry/data/worldclim/past/ccmidbi11.tif,mid,na,bi11
cc,0,/Users/mperry/data/worldclim/past/ccmidbi12.tif,mid,na,bi12
cc,0,/Users/mperry/data/worldclim/past/ccmidbi13.tif,mid,na,bi13
cc,0,/Users/mperry/data/worldclim/past/ccmidbi14.tif,mid,na,bi14
cc,0,/Users/mperry/data/worldclim/past/ccmidbi15.tif,mid,na,bi15
cc,0,/Users/mperry/data/worldclim/past/ccmidbi16.tif,mid,na,bi16
cc,0,/Users/mperry/data/worldclim/past/ccmidbi17.tif,mid,na,bi17
cc,0,/Users/mperry/data/worldclim/past/ccmidbi18.tif,mid,na,bi18
cc,0,/Users/mperry/data/worldclim/past/ccmidbi19.tif,mid,na,bi19
cc,0,/Users/mperry/data/worldclim/past/ccmidbi2.tif,mid,na,bi2
cc,0,/Users/mperry/data/worldclim/past/ccmidbi3.tif,mid,na,bi3
cc,0,/Users/mperry/data/worldclim/past/ccmidbi4.tif,mid,na,bi4
cc,0,/Users/mperry/data/worldclim/past/ccmidbi5.tif,mid,na,bi5
cc,0,/Users/mperry/data/worldclim/past/ccmidbi6.tif,mid,na,bi6
cc,0,/Users/mperry/data/worldclim/past/ccmidbi7.tif,mid,na,bi7
cc,0,/Users/mperry/data/worldclim/past/ccmidbi8.tif,mid,na,bi8
cc,0,/Users/mperry/data/worldclim/past/ccmidbi9.tif,mid,na,bi9
cc,1,/Users/mperry/data/worldclim/past/ccmidpr1.tif,mid,na,pr
cc,10,/Users/mperry/data/worldclim/past/ccmidpr10.tif,mid,na,pr
cc,11,/Users/mperry/data/worldclim/past/ccmidpr11.tif,mid,na,pr
cc,12,/Users/mperry/data/worldclim/past/ccmidpr12.tif,mid,na,pr
cc,2,/Users/mperry/data/worldclim/past/ccmidpr2.tif,mid,na,pr
cc,3,/Users/mperry/data/worldclim/past/ccmidpr3.tif,mid,na,pr
cc,4,/Users/mperry/data/worldclim/past/ccmidpr4.tif,mid,na,pr
cc,5,/Users/mperry/data/worldclim/past/ccmidpr5.tif,mid,na,pr
cc,6,/Users/mperry/data/worldclim/past/ccmidpr6.tif,mid,na,pr
cc,7,/Users/mperry/data/worldclim/past/ccmidpr7.tif,mid,na,pr
cc,8,/Users/mperry/data/worldclim/past/ccmidpr8.tif,mid,na,pr
cc,9,/Users/mperry/data/worldclim/past/ccmidpr9.tif,mid,na,pr
cc,1,/Users/mperry/data/worldclim/past/ccmidtn1.tif,mid,na,tn
cc,10,/Users/mperry/data/worldclim/past/ccmidtn10.tif,mid,na,tn
cc,11,/Users/mperry/data/worldclim/past/ccmidtn11.tif,mid,na,tn
cc,12,/Users/mperry/data/worldclim/past/ccmidtn12.tif,mid,na,tn
cc,2,/Users/mperry/data/worldclim/past/ccmidtn2.tif,mid,na,tn
cc,3,/Users/mperry/data/worldclim/past/ccmidtn3.tif,mid,na,tn
cc,4,/Users/mperry/data/worldclim/past/ccmidtn4.tif,mid,na,tn
cc,5,/Users/mperry/data/worldclim/past/ccmidtn5.tif,mid,na,tn
cc,6,/Users/mperry/data/worldclim/past/ccmidtn6.tif,mid,na,tn
cc,7,/Users/mperry/data/worldclim/past/ccmidtn7.tif,mid,na,tn
cc,8,/Users/mperry/data/worldclim/past/ccmidtn8.tif,mid,na,tn
cc,9,/Users/mperry/data/worldclim/past/ccmidtn9.tif,mid,na,tn
cc,1,/Users/mperry/data/worldclim/past/ccmidtx1.tif,mid,na,tx
cc,10,/Users/mperry/data/worldclim/past/ccmidtx10.tif,mid,na,tx
cc,11,/Users/mperry/data/worldclim/past/ccmidtx11.tif,mid,na,tx
cc,12,/Users/mperry/data/worldclim/past/ccmidtx12.tif,mid,na,tx
cc,2,/Users/mperry/data/worldclim/past/ccmidtx2.tif,mid,na,tx
cc,3,/Users/mperry/data/worldclim/past/ccmidtx3.tif,mid,na,tx
cc,4,/Users/mperry/data/worldclim/past/ccmidtx4.tif,mid,na,tx
cc,5,/Users/mperry/data/worldclim/past/ccmidtx5.tif,mid,na,tx
cc,6,/Users/mperry/data/worldclim/past/ccmidtx6.tif,mid,na,tx
cc,7,/Users/mperry/data/worldclim/past/ccmidtx7.tif,mid,na,tx
cc,8,/Users/mperry/data/worldclim/past/ccmidtx8.tif,mid,na,tx
cc,9,/Users/mperry/data/worldclim/past/ccmidtx9.tif,mid,na,tx
cn,0,/Users/mperry/data/worldclim/past/cnmidbi1.tif,mid,na,bi1
cn,0,/Users/mperry/data/worldclim/past/cnmidbi10.tif,mid,na,bi10
cn,0,/Users/mperry/data/worldclim/past/cnmidbi11.tif,mid,na,bi11
cn,0,/Users/mperry/data/worldclim/past/cnmidbi12.tif,mid,na,bi12
cn,0,/Users/mperry/data/worldclim/past/cnmidbi13.tif,mid,na,bi13
cn,0,/Users/mperry/data/worldclim/past/cnmidbi14.tif,mid,na,bi14
cn,0,/Users/mperry/data/worldclim/past/cnmidbi15.tif,mid,na,bi15
cn,0,/Users/mperry/data/worldclim/past/cnmidbi16.tif,mid,na,bi16
cn,0,/Users/mperry/data/worldclim/past/cnmidbi17.tif,mid,na,bi17
cn,0,/Users/mperry/data/worldclim/past/cnmidbi18.tif,mid,na,bi18
cn,0,/Users/mperry/data/worldclim/past/cnmidbi19.tif,mid,na,bi19
cn,0,/Users/mperry/data/worldclim/past/cnmidbi2.tif,mid,na,bi2
cn,0,/Users/mperry/data/worldclim/past/cnmidbi3.tif,mid,na,bi3
cn,0,/Users/mperry/data/worldclim/past/cnmidbi4.tif,mid,na,bi4
cn,0,/Users/mperry/data/worldclim/past/cnmidbi5.tif,mid,na,bi5
cn,0,/Users/mperry/data/worldclim/past/cnmidbi6.tif,mid,na,bi6
cn,0,/Users/mperry/data/worldclim/past/cnmidbi7.tif,mid,na,bi7
cn,0,/Users/mperry/data/worldclim/past/cnmidbi8.tif,mid,na,bi8
cn,0,/Users/mperry/data/worldclim/past/cnmidbi9.tif,mid,na,bi9
cn,1,/Users/mperry/data/worldclim/past/cnmidpr1.tif,mid,na,pr
cn,10,/Users/mperry/data/worldclim/past/cnmidpr10.tif,mid,na,pr
cn,11,/Users/mperry/data/worldclim/past/cnmidpr11.tif,mid,na,pr
cn,12,/Users/mperry/data/worldclim/past/cnmidpr12.tif,mid,na,pr
